model,lane,concurrency,decode_throughput_tps,decode_tokens,decode_elapsed_s,measured_steps,artifact
qwen3-30b-fp8,vllm-vanilla,1,104.5058481543291,2015,19.281217612093315,2015,original/qwen3-30b-fp8/vllm-vanilla-gpu5/vllm-vanilla/bs1/performance.jsonl
qwen3-30b-fp8,vllm-vanilla,2,139.48990624351194,3996,28.64723410899751,1998,original/qwen3-30b-fp8/vllm-vanilla-gpu5/vllm-vanilla/bs2/performance.jsonl
qwen3-30b-fp8,vllm-vanilla,3,157.91973964551408,5946,37.652037758845836,1982,original/qwen3-30b-fp8/vllm-vanilla-gpu5/vllm-vanilla/bs3/performance.jsonl
qwen3-30b-fp8,svllm-vanilla,1,100.90840943933323,2015,19.968603322515264,2015,original/qwen3-30b-fp8/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-stagefix2/svllm-vanilla/bs1/performance.jsonl
qwen3-30b-fp8,svllm-vanilla,2,140.18255664213618,4030,28.748227286851034,2015,original/qwen3-30b-fp8/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-stagefix2/svllm-vanilla/bs2/performance.jsonl
qwen3-30b-fp8,svllm-vanilla,3,161.07367636700658,6045,37.529409748036414,2015,original/qwen3-30b-fp8/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-stagefix2/svllm-vanilla/bs3/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,1,143.29035280306286,2015,14.062356331618503,2015,original/qwen3-30b-fp8/svllm-snapkv_svllm-quest_svllm-omnikv-bootstrapfix/svllm-snapkv/bs1/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,2,269.3645232174925,4028,14.953713844297454,2014,original/qwen3-30b-fp8/svllm-snapkv_svllm-quest_svllm-omnikv-bootstrapfix/svllm-snapkv/bs2/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,4,469.21701736730836,8048,17.151978087145835,2012,original/qwen3-30b-fp8/svllm-snapkv_svllm-quest_svllm-omnikv-bootstrapfix/svllm-snapkv/bs4/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,8,836.1694496715874,16064,19.21141702355817,2008,original/qwen3-30b-fp8/svllm-snapkv_svllm-quest_svllm-omnikv-bootstrapfix/svllm-snapkv/bs8/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,16,1290.9897049312988,32000,24.787184497108683,2000,original/qwen3-30b-fp8/svllm-snapkv_svllm-quest_svllm-omnikv-bootstrapfix/svllm-snapkv/bs16/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,32,1850.462264581026,63488,34.30926488758996,1984,original/qwen3-30b-fp8/svllm-snapkv_svllm-quest_svllm-omnikv-bootstrapfix/svllm-snapkv/bs32/performance.jsonl
qwen3-30b-fp8,svllm-snapkv,33,1867.7178701137018,65439,35.0368763115257,1983,original/qwen3-30b-fp8/svllm-snapkv-resume1/svllm-snapkv/bs33/performance.jsonl
qwen3-30b-fp8,svllm-quest,1,128.17935321862694,2015,15.720160458004102,2015,original/qwen3-30b-fp8/svllm-quest_svllm-omnikv-gpu5retry1/svllm-quest/bs1/performance.jsonl
qwen3-30b-fp8,svllm-quest,2,218.46484332491306,4030,18.446904035750777,2015,original/qwen3-30b-fp8/svllm-quest_svllm-omnikv-gpu5retry1/svllm-quest/bs2/performance.jsonl
qwen3-30b-fp8,svllm-quest,3,289.97162763304675,6045,20.84686715505086,2015,original/qwen3-30b-fp8/svllm-quest_svllm-omnikv-gpu5retry1/svllm-quest/bs3/performance.jsonl
qwen3-30b-fp8,svllm-omnikv,1,120.22314428484225,2015,16.760499918600544,2015,omnikv-total2048/qwen3-30b-fp8/svllm-omnikv-total2048/svllm-omnikv/bs1/performance.jsonl
qwen3-30b-fp8,svllm-omnikv,2,212.6954768141377,4030,18.94727645535022,2015,omnikv-total2048/qwen3-30b-fp8/svllm-omnikv-total2048/svllm-omnikv/bs2/performance.jsonl
qwen3-30b-fp8,svllm-omnikv,3,277.8559319966918,6045,21.755878870608285,2015,omnikv-total2048/qwen3-30b-fp8/svllm-omnikv-total2048/svllm-omnikv/bs3/performance.jsonl
glm4.7-flash,vllm-vanilla,1,87.01717333949489,2015,23.156348599586636,2015,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/vllm-vanilla/bs1/performance.jsonl
glm4.7-flash,vllm-vanilla,2,161.86668147909833,3996,24.68698291387409,1998,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/vllm-vanilla/bs2/performance.jsonl
glm4.7-flash,vllm-vanilla,4,236.56094098164976,7864,33.243019609944895,1966,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/vllm-vanilla/bs4/performance.jsonl
glm4.7-flash,vllm-vanilla,6,273.66259124,11604,42.402580299414694,1934,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/vllm-vanilla/bs6/performance.jsonl
glm4.7-flash,svllm-vanilla,1,106.24783030838853,2015,18.96509316144511,2015,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-vanilla/bs1/performance.jsonl
glm4.7-flash,svllm-vanilla,2,165.25882223522362,4030,24.385990082053468,2015,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-vanilla/bs2/performance.jsonl
glm4.7-flash,svllm-vanilla,4,235.5697182569473,8060,34.21492397086695,2015,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-vanilla/bs4/performance.jsonl
glm4.7-flash,svllm-vanilla,5,268.34746958577387,10075,37.5446059377864,2015,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-vanilla/bs5/performance.jsonl
glm4.7-flash,svllm-snapkv,1,120.47598940209704,2015,16.7253243571613,2015,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs1/performance.jsonl
glm4.7-flash,svllm-snapkv,2,225.75748176043552,4028,17.842155079822987,2014,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs2/performance.jsonl
glm4.7-flash,svllm-snapkv,4,427.6643663062416,8048,18.8184956102632,2012,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs4/performance.jsonl
glm4.7-flash,svllm-snapkv,8,846.7138322976284,16064,18.97217145538889,2008,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs8/performance.jsonl
glm4.7-flash,svllm-snapkv,16,1498.1511464782188,32000,21.359660589136183,2000,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs16/performance.jsonl
glm4.7-flash,svllm-snapkv,32,2100.494641116321,63488,30.225261591840535,1984,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs32/performance.jsonl
glm4.7-flash,svllm-snapkv,48,2304.379064232716,94464,40.99325560894795,1968,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs48/performance.jsonl
glm4.7-flash,svllm-snapkv,56,2663.6711006048995,109760,41.206288559827954,1960,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs56/performance.jsonl
glm4.7-flash,svllm-snapkv,60,2966.2333081604547,117360,39.56533010303974,1956,original/glm4.7-flash/svllm-vanilla_svllm-snapkv_svllm-quest_svllm-omnikv_vllm-vanilla-auto/svllm-snapkv/bs60/performance.jsonl
glm4.7-flash,svllm-quest,1,116.06436622446928,2015,17.361056330613792,2015,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/svllm-quest/bs1/performance.jsonl
glm4.7-flash,svllm-quest,2,212.16485948706438,4030,18.994662969838828,2015,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/svllm-quest/bs2/performance.jsonl
glm4.7-flash,svllm-quest,4,379.11071166497055,8060,21.260280313901603,2015,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/svllm-quest/bs4/performance.jsonl
glm4.7-flash,svllm-quest,5,489.1096860183885,10075,20.598651566309854,2015,original/glm4.7-flash/svllm-quest_svllm-omnikv_vllm-vanilla-tailauto1/svllm-quest/bs5/performance.jsonl
glm4.7-flash,svllm-omnikv,1,97.73959336344255,2015,20.616005557822064,2015,sm-parallel/glm4.7-flash/svllm-omnikv-sm-parallel/svllm-omnikv/bs1/performance.jsonl
glm4.7-flash,svllm-omnikv,2,182.78879981263114,4030,22.04730270197615,2015,sm-parallel/glm4.7-flash/svllm-omnikv-sm-parallel/svllm-omnikv/bs2/performance.jsonl
glm4.7-flash,svllm-omnikv,4,336.6918308047929,8060,23.938804754288867,2015,sm-parallel/glm4.7-flash/svllm-omnikv-sm-parallel/svllm-omnikv/bs4/performance.jsonl
glm4.7-flash,svllm-omnikv,5,375.8830902603045,10075,26.803546797018498,2015,sm-parallel/glm4.7-flash/svllm-omnikv-sm-parallel/svllm-omnikv/bs5/performance.jsonl
qwen3-30b-fp8,tangram-snapkv,1,113.07233988815922,2015,17.82045018253848,2015,external/qwen3-30b-fp8/tangram-snapkv-gpu6/tangram-snapkv/bs1/performance.jsonl
qwen3-30b-fp8,tangram-snapkv,2,202.40852560154892,3774,18.645459665218368,1887,external/qwen3-30b-fp8/tangram-snapkv-gpu6/tangram-snapkv/bs2/performance.jsonl
qwen3-30b-fp8,tangram-snapkv,4,387.2922578530049,7036,18.1671589280013,1759,external/qwen3-30b-fp8/tangram-snapkv-gpu6/tangram-snapkv/bs4/performance.jsonl
qwen3-30b-fp8,tangram-snapkv,8,615.265085928509,12024,19.542795902118087,1503,external/qwen3-30b-fp8/tangram-snapkv-gpu6/tangram-snapkv/bs8/performance.jsonl
qwen3-30b-fp8,tangram-snapkv,16,989.6618369600524,15840,16.005467128707096,990,external/qwen3-30b-fp8/tangram-snapkv-gpu6/tangram-snapkv/bs16/performance.jsonl
qwen3-30b-fp8,tangram-snapkv,24,1232.7383729932128,11376,9.228235487127677,474,external/qwen3-30b-fp8/tangram-snapkv-gpu6/tangram-snapkv/bs24/performance.jsonl
