id,heads,batch,context,distribution,legacy_splits,formula_splits,legacy_us,formula_us,speedup,identical_config
h10-b5-l64-uniform,10,5,64,uniform,8,32,7.585679888725281,9.165169894695282,0.8276638595773117,False
h5-b128-l131072-ragged,5,128,131072,ragged,4,16,3381.317973136902,2502.5500059127808,1.3511490140647955,False
h10-b128-l8192-uniform,10,128,8192,uniform,4,8,474.5284080505371,495.255184173584,0.9581493000267469,False
h20-b16-l32768-uniform,20,16,32768,uniform,4,32,653.0694961547852,365.3935045003891,1.7873046130027463,False
h10-b4-l512-uniform,10,4,512,uniform,32,32,9.756610095500946,9.872139990329742,0.9882973808169289,True
h20-b16-l64-uniform,20,16,64,uniform,4,16,10.368500351905823,11.30899965763092,0.9168362070742055,False
h5-b16-l64-uniform,5,16,64,uniform,8,16,7.873640060424805,8.11026006937027,0.9708246089617891,False
h5-b16-l2048-uniform,5,16,2048,uniform,8,32,21.378957889449428,34.7574361613099,0.6150901864633885,False
h20-b16-l512-uniform,20,16,512,uniform,4,32,16.899882244462724,20.733781221534024,0.8150892528426302,False
h10-b5-l2048-uniform,10,5,2048,uniform,8,32,18.518530763685703,15.141671989113092,1.2230175621952835,False
h5-b32-l131072-uniform,5,32,131072,uniform,4,32,1748.311996459961,1797.6409792900085,0.9725590463288557,False
h10-b17-l8192-uniform,10,17,8192,uniform,4,32,116.78457260131836,99.02076494126092,1.1793947731124368,False
h5-b128-l512-uniform,5,128,512,uniform,4,4,55.166710747612846,54.957689179314514,1.003803317996438,True
h5-b16-l512-uniform,5,16,512,uniform,8,32,8.925120514559458,14.804421419120697,0.6028685797225544,False
h10-b5-l131072-ragged,10,5,131072,ragged,8,32,827.0480235417683,218.7826633453369,3.780226508333142,False
h5-b1-l2048-uniform,5,1,2048,uniform,32,32,8.995020091533661,8.938419818878174,1.0063322459453008,True
h10-b4-l32768-uniform,10,4,32768,uniform,32,32,71.29206026301665,71.1942946209627,1.0013732229889272,True
h5-b4-l8192-uniform,5,4,8192,uniform,32,32,21.47120290097937,21.00992835728468,1.0219550745652475,True
h10-b128-l32768-uniform,10,128,32768,uniform,4,16,1799.988031387329,1858.2749962806702,0.9686338324467573,False
h20-b1-l2048-uniform,20,1,2048,uniform,32,32,9.100840091705322,8.95904004573822,1.0158275937202172,True
h20-b128-l2048-ragged,20,128,2048,ragged,4,8,104.7709558321082,108.59852251799211,0.9647548917136531,False
h10-b1-l2048-uniform,10,1,2048,uniform,32,32,9.070490002632141,8.963819742202759,1.011900089860929,True
h10-b32-l2048-ragged,10,32,2048,ragged,4,32,32.178371293204165,35.272085666656494,0.9122900073817611,False
h20-b1-l512-uniform,20,1,512,uniform,32,32,8.750230073928833,8.864859938621521,0.9870691849068839,True
h20-b5-l64-uniform,20,5,64,uniform,4,32,10.284259915351868,11.942740082740784,0.8611306822472263,False
h10-b32-l8192-uniform,10,32,8192,uniform,4,32,125.70887058973312,163.13524544239044,0.7705806936375741,False
h5-b5-l8192-uniform,5,5,8192,uniform,8,32,58.38557084401448,41.835809037798924,1.3955884250084118,False
h20-b32-l2048-uniform,20,32,2048,uniform,4,32,56.33021465369633,88.30156922340393,0.6379299388347253,False
h10-b17-l32768-uniform,10,17,32768,uniform,4,32,448.41035207112634,306.22299512227374,1.4643261910885488,False
h20-b5-l512-uniform,20,5,512,uniform,4,32,16.30178416097486,12.764364883706376,1.2771324158700583,False
h10-b256-l8192-uniform,10,256,8192,uniform,4,4,939.5960172017415,939.2386674880981,1.0003804674211285,True
h5-b4-l64-uniform,5,4,64,uniform,32,32,9.308080077171326,9.336659908294678,0.9969389662465952,True
h10-b128-l2048-uniform,10,128,2048,uniform,4,8,145.21662145853043,163.71724754571915,0.8869964749314375,False
h20-b4-l512-uniform,20,4,512,uniform,16,32,10.892845306199849,12.524226891625787,0.8697419330117098,False
h5-b5-l512-uniform,5,5,512,uniform,8,32,8.182400166988373,9.792490005493164,0.8355791185284233,False
h20-b1-l64-uniform,20,1,64,uniform,32,32,8.606220185756683,8.692460060119629,0.9900787724342148,True
h10-b4-l8192-uniform,10,4,8192,uniform,32,32,21.875574632927226,22.004999496318675,0.9941183882593089,True
h20-b1-l32768-uniform,20,1,32768,uniform,32,32,56.62106913189555,57.23311734753986,0.9893060478965747,True
h10-b5-l8192-uniform,10,5,8192,uniform,8,32,59.36104626882644,42.43338108062744,1.3989233183194814,False
h10-b17-l512-uniform,10,17,512,uniform,4,32,12.213892584679112,16.32363764231637,0.7482335036044041,False
h5-b128-l2048-ragged,5,128,2048,ragged,4,8,70.79543045588902,71.70148577008928,0.9873635071230529,False
h20-b5-l131072-uniform,20,5,131072,uniform,4,32,2571.1580514907837,667.5080060958862,3.851875974535415,False
h10-b32-l64-uniform,10,32,64,uniform,4,8,8.820480108261108,9.002929925918579,0.9797343954513946,False
h10-b17-l64-uniform,10,17,64,uniform,4,8,8.0281400680542,8.396719992160797,0.9561042973386388,False
h20-b17-l512-uniform,20,17,512,uniform,4,32,16.797621507902406,22.219549428235304,0.7559838943699269,False
h10-b256-l64-uniform,10,256,64,uniform,4,1,31.64189748274974,13.016102405694816,2.43098098774221,False
h20-b17-l2048-uniform,20,17,2048,uniform,4,32,51.376936283517395,52.75425505130849,0.9738917976104198,False
h5-b17-l64-uniform,5,17,64,uniform,4,8,7.949070036411285,8.245660066604614,0.9640307716062011,False
h10-b32-l32768-uniform,10,32,32768,uniform,4,32,457.5433333714803,492.29065577189124,0.9294170588187813,False
